Name,Phone,Email,ContactMethod
Abby Adams,585-555-6666,abby@adams.com,email
Alan Ethan,585-555-1421,alethan@greenplows.com,phone
Nathaniel Greene,585-555-0123,natgreen@myplow.com,email
Alex Hamilton,585-555-1776,hamilton@plowsrus.com,email
Tom Jefferson,585-555-5555,tjefferson@yippee.com,phone
Jack Adams,585-555-1462,john.adams@winterplow.com,email
Arnold Benedict,585-555-0009,arben@coldmail.com,email
Jay Hancock,585-555-1111,jhancock@popmail.com,phone
John Jaycob,585-555-6767,jaycob@yahooo.com,email
Hank Knox,585-555-9876,knoxh@plowsinc.com,email
Samantha Adams,585-555-1681,samadams@adams.com,phone
Frank Benjamin,585-555-7771,frankb@landscapes.com,email
Natalie Hale,585-555-1666,natalie@hale.com,phone
Patricia Henry,585-555-4242,henry.trish@henrylandscaping.com,phone
